AM1.5 G, 115650.92375394344, 121466.3306081441
AM0, 141650.40323165047, 149338.6959666674
AM1.0, 140733.4549715057, 148212.172957954
2700K LED, 528.5655227149686, 529.7383668210304
4000K LED, 104726.02506408509, 107492.73926809612
CIE LED-B1, 50089.2799123098, 50219.50498996299
CIE LED-B2, 53661.39814887349, 54078.28000619978
CIE LED-B3, 54746.99567409708, 56114.787975258085
CIE LED-B4 (Indoor Standard), 1048.0440340699522, 1078.0385986866352
CIE LED-B5, 31825.647597540214, 33196.178641923085
CIE LED-BH1, 25732.65911131073, 25763.476588936544
CIE LED-RBG1, 16775.99648595855, 17056.348631325676
CIE LED-V1, 44524.80616461267, 44978.60235952955
CIE LED-V2, 49841.776514323836, 51658.707320828915
Sêr SAM LED, 999.966118076938, 1040.9034474973364
CIE FL-2, 6765.923322675615, 6905.4492950213435
CIE FL-7, 5720.908088372977, 6015.558023104972
CIE FL-10 (Indoor Standard), 1049197.4322549847, 1077724.2712659887
CIE FL-11, 5600.052948077311, 5699.79960141486
Position 1, 63017.275966522335, 66622.41749907055
Position 2, 67417.10190184483, 70956.72084021568
Position 3, 68746.7937885501, 71769.75646277556
Position 4, 62563.203264821736, 64538.50632891692
Time 1, -929.8470843224657, -1006.1132627582188
Time 2, 33015.63367222302, 33777.75898127535
Time 3, -1027.7388832443223, -1111.653464964397
Time 4, -1180.244181241299, -1269.2324970035445
Time 5, -908.5742937501946, -985.1315325892174
Time 6, 2775.939161489496, 2954.208389925107
Time 7, 8021.353317301239, 8505.401376132928
Time 8, 14137.973390696614, 14938.62942020868
Time 9, 21110.45063593217, 22193.0124485799
Time 10, 42304.56002748587, 44194.723415033695
Time 11, 42304.56002748587, 44194.723415033695
Time 12, 53234.334092454366, 55764.324526655306
Time 13, 44859.07976785422, 46962.054354282176
Time 14, 51159.24205087787, 53644.84259188367
Time 15, 43047.93110667363, 45113.591790252874
Time 16, 37663.3985003919, 39468.97142533118
Time 17, 54094.120124185145, 56090.42173617074
Time 18, 47913.81182323345, 49591.94999746581
Time 19, 42837.56494829269, 44186.94462439249
Time 20, 36594.77238182029, 37587.230306486286
Time 21, 33475.9701047299, 34254.514168595546
Time 22, 33011.75395356154, 33783.122673759775
Time 23, 33190.73844649181, 33956.47384889575
