AM1.5 G, 115.60822318828805, 121.42148288141009
AM1.0, 103.10577911152171, 108.58492438585769
2700K LED, 349.2969634401919, 350.07202512550924
4000K LED, 346.1346066132136, 355.27899581380177
CIE LED-B1, 328.2505809106985, 329.1039862194519
CIE LED-B2, 330.0926765193405, 332.6570832031808
CIE LED-B3, 332.87330679168736, 341.18977312350285
CIE LED-B4, 334.6152726946526, 344.191816324783
CIE LED-B5, 320.79382874598656, 334.60840706038977
CIE LED-BH1, 362.87299274007717, 363.30757007180205
CIE LED-RBG1, 307.20502118496415, 312.33887936315614
CIE LED-V1, 248.85444340314405, 251.3907643718866
CIE LED-V2, 260.1217445783948, 269.60421579469477
Sêr SAM LED, 327.3107796442225, 340.7104628604013
CIE FL-2, 355.2614393279263, 362.5875935562852
CIE FL-7, 268.191745804566, 282.0047068198948
CIE FL-11, 356.6762053249614, 363.0292270081789
Position 1, 252.7927149322273, 267.25467796934663
Position 2, 250.95316593459773, 264.1290301252523
Position 3, 267.9925909079415, 279.77687283060783
Position 4, 298.5070917738786, 307.9318325522433
Time 1, 88.77631105541899, 96.05775560041526
Time 2, 365.99419634404785, 374.44272235961057
Time 3, 88.92322132169578, 96.18377655033144
Time 4, 90.64072206579597, 97.47487157850593
Time 5, 79.54850795234778, 86.25133254741627
Time 6, 581.9953148062597, 619.3707217182691
Time 7, 311.1807295224281, 329.9589109729664
Time 8, 275.76216798621135, 291.37902030358583
Time 9, 273.9734018288923, 288.02299023494544
Time 10, 279.33001105232466, 291.8104471942298
Time 11, 279.33001105232466, 291.8104471942298
Time 12, 274.91751814801995, 287.9831214464623
Time 13, 279.8661509663313, 292.9861571307323
Time 14, 275.37110277770205, 288.7501626426024
Time 15, 280.68924044244727, 294.1581508727512
Time 16, 282.59397317845287, 296.14145022614207
Time 17, 309.8028351782246, 321.2358688950904
Time 18, 313.9098556590006, 324.90426608062563
Time 19, 329.175636200595, 339.5446409255942
Time 20, 344.3554711903693, 353.69446400385533
Time 21, 361.76085670374266, 370.1742579179424
Time 22, 360.47597421923336, 368.8990313911381
Time 23, 365.1134423584444, 373.5368852161005
